config	runs	target_blocks	sync_swapin_blocks	gpu_only_evictions	writeback_scheduled	writeback_completed	document_recompute_tokens	cpu_peak_gb	duplicate_blocks	cpu_dup_ratio	gpu_dup_ratio	union_dup_ratio	h2d_gib	prefill_sec	median_ttft_sec	median_request_sec
blocks_100__cpu_0gb	1	100.0	4807.0	0.0	32.0	32.0	8192.0	20.25	223.0	0.3871527777777778	1.0	0.3871527777777778	168.99609375	6.482271037413739	0.11112523975316435	0.5425531781511381
blocks_60__cpu_0gb	1	60.0	4774.0	2.0	32.0	33.0	16128.0	20.25	223.0	0.3871527777777778	1.0	0.3871527777777778	167.8359375	6.6538555501028895	0.10879754472989589	0.5493773353518918
blocks_70__cpu_0gb	1	70.0	4807.0	0.0	32.0	32.0	8192.0	20.25	223.0	0.3871527777777778	1.0	0.3871527777777778	168.99609375	6.565577882458456	0.11144545255228877	0.5480410705786198
